Gene	sample	counts
LINC01428	GSM1022678	1.0149928632180971
LINC01428	GSM1022679	1.0886816601851197
LINC01428	GSM1022680	1.0308436074633964
LINC01428	GSM1022681	1.0311088135197646
LINC01428	GSM1022682	2.023315695585277
LINC01428	GSM1022683	1.020863922442935
LINC01428	GSM1022684	1.0578149423884136
LINC01428	GSM1022685	1.0371148636315564
LINC01428	GSM1022686	1.0604724495698388
LINC01428	GSM1022687	1.1088805228290193
LINC01428	GSM1022688	1.0595694172829608
LINC01428	GSM1022689	1.028213009709356
LINC01428	GSM1022690	1.1031801973034647
LINC01428	GSM1022691	1.0928326885818789
LINC01428	GSM1022692	1.0229984726241244
LINC01428	GSM1022693	1.0134855975762167
LINC01428	GSM1022694	1.0545664475046876
LINC01428	GSM1022695	1.0298210946342734
LINC01428	GSM1385778	1.0065008364545027
LINC01428	GSM1385779	1.08831673889073
LINC01428	GSM1385780	1.076969124990565
LINC01428	GSM1385781	1.0160593920172551
LINC01428	GSM1385782	1.010974028503044
LINC01428	GSM1385783	1.072602630214062
LINC01428	GSM1415906	1.006321233202252
LINC01428	GSM1415907	1.0141084146970722
LINC01428	GSM1415908	1.0241144897647825
LINC01428	GSM1415909	1.0137465254422466
LINC01428	GSM1415910	1.0149928632180971
LINC01428	GSM1415911	1.0101171841971937
LINC01428	GSM1415912	1.182512101984153
LINC01428	GSM1415913	1.1954362057291898
LINC01428	GSM1415914	1.1372485303867734
LINC01428	GSM1415915	1.1104272564901518
LINC01428	GSM1415916	1.1091395235784829
LINC01428	GSM1415917	1.1335736061479336
LINC01428	GSM1415918	1.14248870104818
LINC01428	GSM1415919	1.1435660966331045
LINC01428	GSM1415920	1.1170792534511031
LINC01428	GSM1415921	1.0789086069095255
LINC01428	GSM2769390	1.049114201454456
LINC01428	GSM2769391	1.0447696856901132
LINC01428	GSM2769392	1.0329916712135618
LINC01428	GSM2769393	1.026969767993484
LINC01428	GSM2769394	1.017679101810684
LINC01428	GSM2769395	1.0389231941618595
LINC01428	GSM2769396	1.0203367258104672
LINC01428	GSM2769397	1.0478235991023386
LINC01428	GSM2769398	1.0511612257547172
LINC01428	GSM3103946	1.0096769883151675
LINC01428	GSM3103947	0.9117836140755504
LINC01428	GSM3103948	0.6264670386727971
LINC01428	GSM3103949	0.8116746052912999
LINC01428	GSM3103950	0.5759736708637253
LINC01428	GSM3103951	1
LINC01428	GSM3103952	1.0054443410007048
LINC01428	GSM3103953	1.0101171841971937
LINC01428	GSM3103954	1.004388954520296
LINC01428	GSM3103955	0.46965331324653425
LINC01428	GSM3103956	1.0218297981950817
LINC01428	GSM3103957	1.0133047479406865
LINC01428	GSM3103958	1.0205188304787385
LINC01428	GSM3103959	1.0031556375768678
LINC01428	GSM3103960	1.002102653483695
LINC01428	GSM3103961	0.8660659432922149
LINC01428	GSM3103962	1.0073786500721709
LINC01428	GSM3103963	1.02246970304458
LINC01428	GSM3103964	1.0101171841971937
LINC01428	GSM3103965	3.0081554263379315
LINC01428	GSM4260265	1.0111785897562977
LINC01428	GSM4260266	1.007793796528983
LINC01428	GSM4260267	1.0209637531539166
LINC01428	GSM4260268	1.0212022389679882
LINC01428	GSM4260269	1.0112256576006524
LINC01428	GSM4260270	1.0084371780489607
LINC01428	GSM4260271	1.0381691192461002
LINC01428	GSM4260272	1.031794725850175
LINC01428	GSM4260273	1.005882691546114
LINC01428	GSM4260274	2.078228918097706
LINC01428	GSM4260275	1.0300705159989183
LINC01428	GSM4260276	1.0086171589446156
LINC01428	GSM4735785	1.1241583234625787
LINC01428	GSM4735786	1.05207499443912
LINC01428	GSM4735787	1.041096943231955
LINC01428	GSM4735788	1.0615495601063798
LINC01428	GSM4735789	1.0531587528031856
LINC01428	GSM4735790	1.0624726893191856
LINC01428	GSM4735791	1.0871027019164097
LINC01428	GSM4735792	1.119522653616255
LINC01428	GSM4735793	1.0950706995974604
LINC01428	GSM4735794	1.073004610131236
LINC01428	GSM4735795	1.0485009745543108
LINC01428	GSM4735796	1.1345222112631277
LINC01428	GSM4735797	1.1166577862322071
LINC01428	GSM4735798	1.1431313903741345
LINC01428	GSM4735799	1.1303004052343573
LINC01428	GSM4735800	1.1336053776903567
LINC01428	GSM4735801	1.08578255609448
LINC01428	GSM4735802	1.0404467493865326
LINC01428	GSM4735803	1.0290012974998244
LINC01428	GSM4735804	1.0579760419913706
LINC01428	GSM5282507	0.9404724382057024
LINC01428	GSM5282508	1.0086171589446156
LINC01428	GSM5282509	1
LINC01428	GSM5282510	1.0362709230555889
LINC01428	GSM5282511	1.0176706758708058
LINC01428	GSM5282512	1.0111785897562977
LINC01428	GSM5282513	1.0031556375768678
LINC01428	GSM5282514	0.9596936719838556
LINC01428	GSM5282515	1.0116194403019223
LINC01428	GSM5282516	1.0205188304787385
LINC01428	GSM5282517	1.015616606598635
LINC01428	GSM5282518	0.9572331864652024
LINC01428	GSM5282519	1.0438859933835571
LINC01428	GSM5282520	1.0134855975762167
LINC01428	GSM5282521	1.0101171841971937
LINC01428	GSM5282522	1.0111785897562977
LINC01428	GSM5282523	0.9658029135504892
LINC01428	GSM5282524	1
LINC01428	GSM5282525	1
LINC01428	GSM5282526	0.9609573770986468
LINC01428	GSM5282527	1
LINC01428	GSM5282528	1.006321233202252
LINC01428	GSM5282529	1
LINC01428	GSM5282530	1.005882691546114
LINC01428	GSM5282531	1.0128631629599931
LINC01428	GSM5282532	1
LINC01428	GSM5282533	0.7846421808165844
LINC01428	GSM5282534	1
LINC01428	GSM5282535	1
LINC01428	GSM5282536	1.0010430245262634
LINC01428	GSM4260927	1.002102653483695
LINC01428	GSM4260928	1.2909112142585406
LINC01428	GSM4260929	0.5819498173626707
LINC01428	GSM4260930	1
LINC01428	GSM4260931	1.0069396476075654
LINC01428	GSM4260932	2.008419456238125
LINC01428	GSM4260933	0.8337188926476333
LINC01428	GSM4260934	1.0031556375768678
LINC01428	GSM4260935	1.0115205232858615
LINC01428	GSM4260936	1.019265707215034
LINC01428	GSM4260937	1
LINC01428	GSM4260938	1.0463449709305277
LINC01428	GSM4260939	1.0031556375768678
LINC01428	GSM4260940	2.018796217671766
LINC01428	GSM4260941	1
LINC01428	GSM4260942	1
LINC01428	GSM4260943	1.018179658672215
LINC01428	GSM4260944	0.7901896247624465
LINC01428	GSM4260945	1.0079977142916818
LINC01428	GSM4260946	0.5510337199157896
LINC01428	GSM4260947	1.024185544737989
LINC01428	GSM4260948	1.47654332733663
LINC01428	GSM4260949	1.031105756209081
LINC01428	GSM4260950	1
LINC01428	GSM4260951	0.862210537914432
LINC01428	GSM4260952	1.9507215069219344
LINC01428	GSM4260953	1
LINC01428	GSM4260954	1.0101171841971937
LINC01428	GSM4260955	1.0443980245860167
LINC01428	GSM4260956	2.043508525478373
LINC01428	GSM4260957	1.8305144702520075
LINC01428	GSM4260958	1.0450141253403695
LINC01428	GSM4260959	4.074063264079229
LINC01428	GSM4260960	1.0094968183001447
LINC01428	GSM4260961	1.0052649262729068
LINC01428	GSM4260962	1.0071193612313702
LINC01428	GSM4260963	1
LINC01428	GSM4260964	1.002102653483695
LINC01428	GSM4260965	1.0480118219614296
LINC01428	GSM4260966	1
LINC01428	GSM4260967	1.71044267051109
LINC01428	GSM4260968	1.0031556375768678
LINC01428	GSM4260969	2.0105298525458135
LINC01428	GSM4260970	0.7676598544628919
LINC01428	GSM4260971	1.8842952476688903
LINC01428	GSM4260972	1.015304770291522
LINC01428	GSM4260973	1.0069396476075654
LINC01428	GSM4260974	1.0187219032840784
LINC01428	GSM4260975	1.0037721066292744
LINC01428	GSM4260976	1
LINC01428	GSM4260977	1.0373329762545018
LINC01428	GSM4260978	1
LINC01428	GSM4260979	1
LINC01428	GSM4260980	1.7187642287644027
LINC01428	GSM4260981	0.6932997731541387
LINC01428	GSM4260982	1.006321233202252
LINC01428	GSM4260983	2.0342540829957367
LINC01428	GSM4260984	0.8100455500270124
LINC01428	GSM4260985	0.710173072721408
LINC01428	GSM4260986	0.7514549828230019
LINC01428	GSM4260987	1.0536280474406272
LINC01428	GSM4260988	1.016685793974575
LINC01428	GSM4260989	1
LINC01428	GSM4260990	1
LINC01428	GSM4260991	1.0052649262729068
LINC01428	GSM4260992	0.7239781904071776
LINC01428	GSM4260993	1.0194476207331868
LINC01428	GSM4260994	1
LINC01428	GSM4260995	1.0305782789853644
LINC01428	GSM4260996	0.8209594956916948
LINC01428	GSM4260997	1
LINC01428	GSM4260998	1.577737344153251
LINC01428	GSM4260999	1.0027184754459773
LINC01428	GSM4261000	1.022963108723893
LINC01428	GSM4261001	2
LINC01428	GSM4261002	1.0686315569478149
LINC01428	GSM4261003	1.006321233202252
LINC01428	GSM4261004	1.0469203470873392
LINC01428	GSM4261005	1
LINC01428	GSM4261006	1.0222189640586097
LINC01428	GSM4261007	1.059023137674673
LINC01428	GSM4261008	2.0063112751537355
LINC01428	GSM4261009	1.0305588816235487
LINC01428	GSM4261010	1.0573527504378613
LINC01428	GSM4261011	1.0186397227305803
LINC01428	GSM4261012	1.1521636110377214
LINC01428	GSM4261013	1.035533229548271
LINC01428	GSM4261014	1.032686174919233
LINC01428	GSM4261015	2.0330047409602123
LINC01428	GSM4261016	1.004826844941539
LINC01428	GSM4261017	1.0145505425788048
LINC01428	GSM4261018	0.6598775488939715
LINC01428	GSM4261019	1.0194476207331868
LINC01428	GSM4261020	1.0794604597647677
LINC01428	GSM4261021	1.0353679331740913
LINC01428	GSM4261022	1.008177616754012
LINC01428	GSM4261023	1.004388954520296
LINC01428	GSM4261024	1.046087500606099
LINC01428	GSM4261025	1.030483911825718
LINC01428	GSM4261026	1.0460126567107848
LINC01428	GSM4261027	3.718367398747675
LINC01428	GSM4818000	1.0148590600281953
LINC01428	GSM4818001	1.0529126092797554
LINC01428	GSM4818002	1.0358193297155989
LINC01428	GSM4818003	1.0573255696962722
LINC01428	GSM4818004	1.180393650637631
LINC01428	GSM4818005	1.0778621231566528
LINC01428	GSM4818006	1.1865753126452228
LINC01428	GSM4818007	1.1906613995587665
LINC01428	GSM4818008	1.0171270414978684
LINC01428	GSM4818009	1.049549533604482
LINC01428	GSM4818010	1.0971448421687486
LINC01428	GSM4818011	1.1446027103872318
LINC01428	GSM4818012	1.0166837908115425
LINC01428	GSM4818013	2.0725418461111773
LINC01428	GSM4818014	1.1681827290169344
LINC01428	GSM4818015	1.083493271513882
LINC01428	GSM4818016	1.0638862153272983
LINC01428	GSM4818017	1.0249978412128151
LINC01428	GSM4818018	1.0360041976426817
LINC01428	GSM4818019	1.0168461042644938
LINC01428	GSM4818020	1.0137465254422466
LINC01428	GSM4818021	1.0186397227305803
LINC01428	GSM4818022	1.066273626617109
LINC01428	GSM4818023	1.0980352910845552
LINC01428	GSM3056394	1.0671971411560988
LINC01428	GSM3056395	1.133705193223047
LINC01428	GSM3056396	1.203522155752025
LINC01428	GSM3056397	1.0736079330791972
LINC01428	GSM3056398	1.0205188304787385
LINC01428	GSM3056399	1.0997159648995063
LINC01428	GSM3056400	1.0751432370066922
LINC01428	GSM3056401	1.0560363314371135
LINC01428	GSM3056402	1.0757745868233608
LINC01428	GSM3056403	1.0438151284577408
LINC01428	GSM3056404	1.0217876980106086
LINC01428	GSM3056405	1.1407630523006334
LINC01428	GSM3056406	1.0920290281894016
LINC01428	GSM3056407	1.0946187709781108
LINC01428	GSM3056408	1.051302402577222
LINC01428	GSM3056409	1.0516329533829845
LINC01428	GSM3056410	1.2063342432114983
LINC01428	GSM3056411	1.2456982018473386
LINC01428	GSM3056412	1.1918056890427493
LINC01428	GSM3056413	1.1508553648838002
LINC01428	GSM3056414	1.028841826666172
LINC01428	GSM3056415	1.0579799460345516
LINC01428	GSM3056416	1.2099057083768017
LINC01428	GSM3056417	1.0643159022656992
LINC01428	GSM3056418	1.0171270414978684
LINC01428	GSM3056419	1.1049801633331209
LINC01428	GSM3056420	1.028396520097945
LINC01428	GSM3056421	1.128135411167967
LINC01428	GSM3056422	1.1379442381081375
LINC01428	GSM3056423	1.2189788698148885
LINC01428	GSM3056424	1.1011144214313489
LINC01428	GSM3056425	1.1975332789795994
LINC01428	GSM3056426	1.0466890534922917
LINC01428	GSM3056427	1.1736616871026193
LINC01428	GSM3056428	1.036458291289237
LINC01428	GSM3056429	1.10257721610693
LINC01428	GSM3056430	1.052417069693916
LINC01428	GSM3056431	1.142439781228339
LINC01428	GSM3056432	1.059849697095764
LINC01428	GSM3056433	1.184271708569342
LINC01428	GSM3056434	1.0367049728965188
LINC01428	GSM3056435	1.1519063682458093
LINC01428	GSM3056436	1.1394543927279692
LINC01428	GSM3056437	1.1397234185202714
LINC01428	GSM3056438	1.0890492244477346
LINC01428	GSM3056439	1.1115592369546867
LINC01428	GSM3056440	1.2274454144782774
LINC01428	GSM3056441	1.2448635470620568
LINC01428	GSM3056442	1.0186872166163066
LINC01428	GSM3056443	1.0336459304989285
LINC01428	GSM3056444	1.1444199091912266
LINC01428	GSM3056445	1.0494980139587593
LINC01428	GSM3056446	1.019059509939322
LINC01428	GSM3056447	1.015435376698988
LINC01428	GSM3056448	1.024185544737989
LINC01428	GSM3056449	1.0947620158572255
LINC01428	GSM3056450	1.0222189640586097
LINC01428	GSM3056451	1.103382198875546
LINC01428	GSM3056452	1.044095844834663
LINC01428	GSM3056453	1.0279483583199658
LINC01428	GSM3056454	1.096730865362172
LINC01428	GSM3056455	1.03045811269268
LINC01428	GSM3056456	1.0263390520415825
LINC01428	GSM3056457	1.1384325687729644
LINC01428	GSM3056458	1.2557940495074096
LINC01428	GSM3056459	1.1481121974989528
LINC01428	GSM3056460	1.1837356292037229
LINC01428	GSM3056461	1.1469577367468486
LINC01428	GSM3056462	1.1117090454229606
LINC01428	GSM3056463	1.2008842961788255
LINC01428	GSM3056464	1.1844698293014613
LINC01428	GSM3056465	1.1865971827336304
LINC01428	GSM3056466	1.1136536085485649
LINC01428	GSM3056467	1.1108302800333494
LINC01428	GSM3056468	1.0322660267276402
LINC01428	GSM3056469	1.1699582550602945
LINC01428	GSM3056470	1.1758048483689
LINC01428	GSM3056471	1.174293011298832
